ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,last_seq_scan,seq_tup_read,idx_scan,last_idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_tup_newpage_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1707240366.003617,2612,pg_catalog,pg_language,20,81,34,152,0,0,1,0,2612,pg_catalog,pg_language,0,,0,92,2024-02-06 09:29:20.968759-06,92,0,0,0,0,0,4,0,0,0,2024-01-16 18:19:09.489347-06,,2024-01-16 18:19:09.490038-06,,1,0,1,0
1707240366.003617,2995,pg_catalog,pg_largeobject_metadata,0,0,1,0,,,,,2995,pg_catalog,pg_largeobject_metadata,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.628284-06,,2024-01-16 18:19:09.628336-06,,1,0,1,0
1707240366.003617,2600,pg_catalog,pg_aggregate,29,1016,46,2008,0,0,1,0,2600,pg_catalog,pg_aggregate,0,,0,1033,2024-02-06 09:38:03.077146-06,1033,0,0,0,0,0,157,0,0,0,2024-01-16 18:19:08.40695-06,,2024-01-16 18:19:08.429474-06,,1,0,1,0
1707240366.003617,3381,pg_catalog,pg_statistic_ext,0,0,42,32809,0,0,1,0,3381,pg_catalog,pg_statistic_ext,4,2024-01-23 13:41:08.712638-06,0,16322,2024-02-06 11:26:06.002443-06,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.623597-06,,2024-01-16 18:19:09.624058-06,,1,0,1,0
1707240366.003617,2618,pg_catalog,pg_rewrite,29,271,6,452,21,188,5,286,2618,pg_catalog,pg_rewrite,0,,0,251,2024-02-06 11:26:06.002443-06,255,0,0,0,0,0,143,0,0,0,2024-01-16 18:19:07.046802-06,,2024-01-16 18:19:07.049845-06,,1,0,1,0
1707240366.003617,2620,pg_catalog,pg_trigger,140,34244,199,42643,0,0,1,0,2620,pg_catalog,pg_trigger,0,,0,16355,2024-02-06 09:39:03.703202-06,122570,196,0,0,0,0,196,0,0,0,2024-01-16 18:19:07.903374-06,,2024-01-16 18:19:07.925869-06,2024-01-16 18:03:58.462196-06,1,0,1,2
1707240366.003617,3466,pg_catalog,pg_event_trigger,0,0,3,317,0,0,1,0,3466,pg_catalog,pg_event_trigger,0,,0,318,2024-01-23 13:23:45.104445-06,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.599634-06,,2024-01-16 18:19:09.600177-06,,1,0,1,0
1707240366.003617,2609,pg_catalog,pg_description,48,3,1,0,0,0,1,0,2609,pg_catalog,pg_description,0,,0,0,,0,0,0,0,0,0,4983,0,0,0,2024-01-16 18:19:06.108686-06,,2024-01-16 18:19:06.251092-06,,1,0,1,0
1707240366.003617,2605,pg_catalog,pg_cast,87,103551,83,645548,,,,,2605,pg_catalog,pg_cast,0,,0,635609,2024-02-06 11:26:06.002443-06,103626,0,0,0,0,0,229,0,0,0,2024-01-16 18:19:08.258282-06,,2024-01-16 18:19:08.258844-06,,1,0,1,0
1707240366.003617,3501,pg_catalog,pg_enum,0,0,3,0,,,,,3501,pg_catalog,pg_enum,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.664791-06,,2024-01-16 18:19:09.664854-06,,1,0,1,0
