ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1707242107.180533,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242107.180533,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242107.180533,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242107.180533,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242107.180533,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242107.180533,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242107.180533,Xact,0,99971,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242107.180533,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242167.122131,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242167.122131,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242167.122131,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242167.122131,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242167.122131,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242167.122131,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242167.122131,Xact,0,100051,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242167.122131,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242227.329664,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242227.329664,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242227.329664,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242227.329664,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242227.329664,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242227.329664,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242227.329664,Xact,0,100211,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242227.329664,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242287.177349,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242287.177349,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242287.177349,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242287.177349,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242287.177349,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242287.177349,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242287.177349,Xact,0,100255,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242287.177349,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242347.326125,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242347.326125,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242347.326125,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242347.326125,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242347.326125,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242347.326125,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242347.326125,Xact,0,100266,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242347.326125,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242407.365807,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242407.365807,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242407.365807,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242407.365807,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242407.365807,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242407.365807,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242407.365807,Xact,0,100274,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242407.365807,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242467.325994,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242467.325994,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242467.325994,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242467.325994,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242467.325994,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242467.325994,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242467.325994,Xact,0,100339,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242467.325994,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242527.329075,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242527.329075,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242527.329075,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242527.329075,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242527.329075,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242527.329075,Subtrans,11,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242527.329075,Xact,0,100388,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242527.329075,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242587.355527,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242587.355527,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242587.355527,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
