ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,2609,2675,pg_catalog,pg_description,pg_description_o_c_o_index,0,,0,0,2609,2675,pg_catalog,pg_description,pg_description_o_c_o_index,1,0
1707240366.013610,2605,2660,pg_catalog,pg_cast,pg_cast_oid_index,0,,0,0,2605,2660,pg_catalog,pg_cast,pg_cast_oid_index,1,0
1707240366.013610,3501,3502,pg_catalog,pg_enum,pg_enum_oid_index,0,,0,0,3501,3502,pg_catalog,pg_enum,pg_enum_oid_index,1,0
1707240366.013610,3501,3503,pg_catalog,pg_enum,pg_enum_typid_label_index,0,,0,0,3501,3503,pg_catalog,pg_enum,pg_enum_typid_label_index,1,0
1707240366.013610,3501,3534,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,,0,0,3501,3534,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,1,0
1707240366.013610,2615,2684,pg_catalog,pg_namespace,pg_namespace_nspname_index,21783,2024-02-06 11:26:06.01874-06,11726,11726,2615,2684,pg_catalog,pg_namespace,pg_namespace_nspname_index,36,31849
1707240366.013610,24640,24641,pg_toast,pg_toast_24636,pg_toast_24636_index,0,,0,0,24640,24641,pg_toast,pg_toast_24636,pg_toast_24636_index,1,0
1707240366.013610,2607,2668,pg_catalog,pg_conversion,pg_conversion_default_index,0,,0,0,2607,2668,pg_catalog,pg_conversion,pg_conversion_default_index,1,0
1707240366.013610,2607,2669,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,,0,0,2607,2669,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,1,0
1707240366.013610,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,0,,0,0,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,34,3840
1707240366.013610,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,0,,0,0,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,33,3806
1707240366.013610,1262,2671,pg_catalog,pg_database,pg_database_datname_index,11754,2024-02-06 11:26:06.014278-06,11752,11751,1262,2671,pg_catalog,pg_database,pg_database_datname_index,44,23469
1707240366.013610,1213,2698,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,,0,0,1213,2698,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,5,3
1707240366.013610,1260,2676,pg_catalog,pg_authid,pg_authid_rolname_index,17902,2024-02-06 11:26:06.014278-06,17902,17902,1260,2676,pg_catalog,pg_authid,pg_authid_rolname_index,148,35660
1707240366.013610,1261,2694,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,,0,0,1261,2694,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,3,1
1707240366.013610,1261,2695,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,,0,0,1261,2695,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,3,1
1707240366.013610,1261,6302,pg_catalog,pg_auth_members,pg_auth_members_grantor_index,0,,0,0,1261,6302,pg_catalog,pg_auth_members,pg_auth_members_grantor_index,3,1
1707240366.013610,1214,1232,pg_catalog,pg_shdepend,pg_shdepend_depender_index,404,2024-01-19 17:38:41.709419-06,0,0,1214,1232,pg_catalog,pg_shdepend,pg_shdepend_depender_index,5,807
1707240366.013610,1214,1233,pg_catalog,pg_shdepend,pg_shdepend_reference_index,0,,0,0,1214,1233,pg_catalog,pg_shdepend,pg_shdepend_reference_index,3,1
1707240366.013610,3602,3608,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,80,2024-01-16 18:32:27.300103-06,80,80,3602,3608,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,2,119
1707240366.013610,3600,3604,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,,0,0,3600,3604,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,1,0
1707240366.013610,3601,3606,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,,0,0,3601,3606,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,1,0
1707240366.013610,3764,3766,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,,0,0,3764,3766,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,1,0
