ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653668461.992623,pg_catalog,pg_namespace,pg_namespace_oid_index,7668,7652,7632,1491,9371
1653668461.992623,pg_catalog,pg_namespace,pg_namespace_nspname_index,18657,11500,11500,1779,26017
1653668461.992623,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_depend,pg_depend_reference_index,11306,11367,10639,1993,27496
1653668461.992623,pg_catalog,pg_depend,pg_depend_depender_index,3586,5576,5462,807,13238
1653668461.992623,pg_catalog,pg_database,pg_database_oid_index,12698,12697,12697,2103,20258
1653668461.992623,pg_catalog,pg_database,pg_database_datname_index,16890,16889,16889,1944,24516
1653668461.992623,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,38648,0,0,842,76454
1653668461.992623,pg_catalog,pg_tablespace,pg_tablespace_oid_index,4819,4819,4819,2079,7559
1653668461.992623,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,42,42
1653668461.992623,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_shdepend,pg_shdepend_reference_index,313,313,313,238,372
1653668461.992623,pg_catalog,pg_shdepend,pg_shdepend_depender_index,1635,0,0,236,1685
1653668461.992623,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_ts_config,pg_ts_config_oid_index,3964,3964,3964,1317,4629
1653668461.992623,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,3964,3964,3964,1317,4629
1653668461.992623,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
