ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719465668.976382,4263817,dbt7,7,1382296,193,12015639,1801941731,13147792869,835061167,301436716,18861,34231,0,1160,40056218990,0,,,0,0,176107692.573,96398507.197,0,19680,0,0,0,
1719465668.976382,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465668.976382,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465668.976382,4212858,dbt5,0,2710914,4989,1084972869,5879648525,60736392320,7852630115,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465728.983760,0,,0,0,0,221,39510338,17518968,8505541,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465728.983760,5,postgres,0,1419313,0,617,51851846,620957177,9956720,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465728.983760,4263817,dbt7,9,1382570,193,12015639,1848488326,13209594126,860496179,301436727,18872,34231,0,1170,40664474990,0,,,0,0,176167320.064,97265279.857,0,19696,0,0,0,
1719465728.983760,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465728.983760,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465728.983760,4212858,dbt5,0,2711026,4989,1084972869,5879652613,60736454144,7852630899,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465788.993215,0,,0,0,0,221,39513503,17519715,8506255,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465788.993215,5,postgres,0,1419425,0,617,51855934,621006177,9957504,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465788.993215,4263817,dbt7,9,1382716,193,12015639,1848501447,13209666202,860501435,301436727,18872,34231,0,1170,40664474990,0,,,0,0,176167427.449,97265326.247,0,19713,0,0,0,
1719465788.993215,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465788.993215,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465788.993215,4212858,dbt5,0,2711138,4989,1084972869,5879656701,60736515968,7852631683,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465849.009610,0,,0,0,0,221,39516624,17520452,8506959,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465849.009610,5,postgres,0,1419537,0,617,51860022,621055177,9958288,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465849.009610,4263817,dbt7,7,1382860,193,12015639,1848514523,13209738252,860506667,301436727,18872,34231,0,1170,40664474990,0,,,0,0,176167527.393,97265372.745,0,19728,0,0,0,
1719465849.009610,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465849.009610,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465849.009610,4212858,dbt5,0,2711250,4989,1084972869,5879660789,60736577792,7852632467,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465909.023219,0,,0,0,0,221,39519823,17521207,8507681,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465909.023219,5,postgres,0,1419647,0,617,51864037,621103302,9959058,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465909.023219,4263817,dbt7,9,1383006,193,12015639,1848527648,13209809217,860511940,301436727,18872,34231,0,1170,40664474990,0,,,0,0,176167641.376,97265419.268,0,19747,0,0,0,
1719465909.023219,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465909.023219,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465909.023219,4212858,dbt5,0,2711362,4989,1084972869,5879664877,60736639616,7852633251,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465969.035393,0,,0,0,0,221,39524185,17522227,8508668,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465969.035393,5,postgres,0,1419759,0,617,51868125,621152302,9959842,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465969.035393,4263817,dbt7,10,1383451,194,12015664,1865866920,13292562475,868720407,301436754,18905,34231,0,1199,41493999890,0,,,0,0,177024718.546,98123932.395,0,19766,0,0,0,
1719465969.035393,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465969.035393,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465969.035393,4212858,dbt5,0,2711474,4989,1084972869,5879668965,60736701440,7852634035,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719466029.045949,0,,0,0,0,221,39527313,17522983,8509373,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719466029.045949,5,postgres,0,1419871,0,617,51872213,621201302,9960626,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719466029.045949,4263817,dbt7,9,1383596,194,12015664,1865880069,13292634567,868725680,301436754,18905,34231,0,1199,41493999890,0,,,0,0,177024821.368,98123979.031,0,19782,0,0,0,
1719466029.045949,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719466029.045949,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719466029.045949,4212858,dbt5,0,2711584,4989,1084972869,5879672980,60736762160,7852634805,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719466089.056714,0,,0,0,0,221,39530480,17523713,8510088,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
