ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1719471069.972352,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719471129.986375,392420444,81032948,1604020409247,17806174,19418897,1599179,0,0,2024-06-13 18:53:49.178489+00
1719471190.000142,392420462,81032948,1604020410303,17806174,19418907,1599189,0,0,2024-06-13 18:53:49.178489+00
1719471250.006860,392420462,81032948,1604020410303,17806174,19418907,1599189,0,0,2024-06-13 18:53:49.178489+00
1719471310.020297,392420617,81032956,1604020475097,17806174,19418980,1599262,0,0,2024-06-13 18:53:49.178489+00
1719471370.039710,392420706,81032956,1604020485458,17806174,19419021,1599303,0,0,2024-06-13 18:53:49.178489+00
1719471430.048214,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471490.059770,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471550.070715,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471610.080806,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471670.093063,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471730.107521,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471790.116415,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471850.130935,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471910.141829,392420781,81032956,1604020490143,17806174,19419058,1599340,0,0,2024-06-13 18:53:49.178489+00
1719471970.156562,392420783,81032956,1604020490307,17806174,19419059,1599341,0,0,2024-06-13 18:53:49.178489+00
1719472030.166419,392420885,81032962,1604020539167,17806174,19419110,1599392,0,0,2024-06-13 18:53:49.178489+00
1719472090.178442,392420942,81032969,1604020590660,17806174,19419134,1599416,0,0,2024-06-13 18:53:49.178489+00
1719472150.190484,392421025,81032969,1604020595713,17806174,19419174,1599456,0,0,2024-06-13 18:53:49.178489+00
1719472210.203441,392421026,81032969,1604020595763,17806174,19419175,1599457,0,0,2024-06-13 18:53:49.178489+00
1719472270.216272,397872487,81066060,1604827637988,17814247,19427598,1599800,0,0,2024-06-13 18:53:49.178489+00
1719472330.228188,400762895,81073345,1605135233808,17814247,19427835,1600030,0,0,2024-06-13 18:53:49.178489+00
1719472390.239054,400762966,81073345,1605135238139,17814247,19427871,1600066,0,0,2024-06-13 18:53:49.178489+00
1719472450.247834,400763034,81073345,1605135246907,17814247,19427900,1600095,0,0,2024-06-13 18:53:49.178489+00
1719472510.265713,400763034,81073345,1605135246907,17814247,19427900,1600095,0,0,2024-06-13 18:53:49.178489+00
1719472570.278140,400763034,81073345,1605135246907,17814247,19427900,1600095,0,0,2024-06-13 18:53:49.178489+00
1719472630.287496,400763034,81073345,1605135246907,17814247,19427900,1600095,0,0,2024-06-13 18:53:49.178489+00
