ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719466209.083295,Xact,705,89827269,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719466209.083295,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466269.095375,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719466269.095375,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719466269.095375,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719466269.095375,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466269.095375,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466269.095375,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719466269.095375,Xact,705,89827269,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719466269.095375,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466329.110193,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719466329.110193,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719466329.110193,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719466329.110193,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466329.110193,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466329.110193,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719466329.110193,Xact,705,89827269,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719466329.110193,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466389.119590,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719466389.119590,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719466389.119590,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
