# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
z15rhel7;60;1707243845;2;5.58;0.00;2.93;50.07;2.03;39.38
z15rhel7;60;1707243845;3;9.18;0.00;4.82;27.58;4.75;53.67
z15rhel7;60;1707243905;-1;5.68;0.00;3.62;37.19;2.93;50.58
z15rhel7;60;1707243905;0;5.90;0.00;4.38;25.97;2.58;61.17
z15rhel7;60;1707243905;1;5.62;0.00;2.72;45.10;3.20;43.37
z15rhel7;60;1707243905;2;9.88;0.00;5.93;51.97;5.27;26.95
z15rhel7;60;1707243905;3;1.32;0.00;1.50;25.72;0.68;70.78
z15rhel7;60;1707243965;-1;3.71;0.00;2.78;39.59;1.69;52.23
z15rhel7;60;1707243965;0;4.40;0.00;3.80;29.69;1.87;60.25
z15rhel7;60;1707243965;1;7.23;0.00;3.27;27.63;2.93;58.93
z15rhel7;60;1707243965;2;2.00;0.00;1.58;70.72;1.03;24.67
z15rhel7;60;1707243965;3;1.22;0.00;2.45;30.29;0.92;65.12
