ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1719463544.473003,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463604.482525,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463664.492555,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463724.498746,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463784.514546,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463844.529152,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756481371,2024-06-13 18:53:49.178489+00
1719463904.537784,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756482063,2024-06-13 18:53:49.178489+00
1719463964.546006,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464024.558365,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464084.567773,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464144.577674,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464204.585253,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464264.605518,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464324.613475,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464384.625435,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464444.628911,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464504.642697,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464564.649315,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464624.663386,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464684.675034,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756487892,2024-06-13 18:53:49.178489+00
1719464744.683027,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756488522,2024-06-13 18:53:49.178489+00
1719464804.690200,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756488522,2024-06-13 18:53:49.178489+00
