ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719458623.612755,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458623.612755,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458623.612755,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458623.612755,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458623.612755,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458623.612755,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458623.612755,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458623.612755,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458683.622010,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458683.622010,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458683.622010,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458683.622010,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458683.622010,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458683.622010,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458683.622010,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458683.622010,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458743.632400,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458743.632400,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458743.632400,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458743.632400,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458743.632400,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458743.632400,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458743.632400,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458743.632400,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458803.644497,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458803.644497,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458803.644497,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458803.644497,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458803.644497,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458803.644497,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458803.644497,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458803.644497,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458863.650984,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458863.650984,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458863.650984,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458863.650984,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458863.650984,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458863.650984,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
