Time,UID,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,cswch/s,nvcswch/s,Command
1707240486,999,613,0.00,0.02,0.00,0.02,2,1.50,0.00,538208,1088,0.03,-1.00,-1.00,-1.00,0.17,0.00,/usr/lib/polkit-1/polkitd --no-debug
1707240486,81,615,0.02,0.00,0.00,0.02,2,1.70,0.00,15180,1176,0.03,-1.00,-1.00,-1.00,0.70,0.00,/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
1707240486,0,688,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.10,0.00,kworker/3:1H
1707240486,0,698,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.37,0.00,kworker/0:1H
1707240486,0,765,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.17,0.00,kworker/1:1H
1707240486,0,797,0.00,0.02,0.00,0.02,2,3.38,0.00,421480,2624,0.07,-1.00,-1.00,-1.00,0.15,0.00,/usr/sbin/NetworkManager --no-daemon
1707240486,0,1101,0.00,0.00,0.00,0.00,1,1.12,0.00,501036,3580,0.09,-1.00,-1.00,-1.00,0.00,0.00,/usr/sbin/rsyslogd -n
1707240486,0,1319,0.00,0.00,0.00,0.00,0,0.00,0.00,17984,196,0.00,-1.00,-1.00,-1.00,0.03,0.00,/usr/libexec/postfix/master -w
1707240486,0,1977,0.02,0.00,0.00,0.02,2,0.00,0.00,427388,928,0.02,-1.00,-1.00,-1.00,0.00,0.00,/usr/bin/python2 -Es /usr/sbin/tuned -l -P
1707240486,0,2188,0.00,0.00,0.00,0.00,1,0.32,0.00,14460,416,0.01,-1.00,-1.00,-1.00,0.05,0.00,/usr/sbin/sshd -D
1707240486,0,2340,0.00,0.00,0.00,0.00,0,0.00,0.00,107740,660,0.02,-1.00,-1.00,-1.00,0.02,0.00,/usr/sbin/crond -n
1707240486,0,3631,0.00,0.02,0.00,0.02,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,18.75,0.00,kworker/3:1
1707240486,1002,7696,0.00,0.00,0.00,0.00,3,5.12,0.00,1282896,23816,0.60,3.20,0.00,0.00,0.42,0.00,/usr/local/bin/postgres -D /home/markwkm/.local/dbt5
1707240486,1002,7698,0.02,0.00,0.00,0.02,1,22.27,0.00,1283288,93804,2.38,0.00,1.60,0.00,4.97,0.12,postgres: background writer
1707240486,1002,7700,0.00,0.00,0.00,0.00,1,0.40,0.00,1282896,14584,0.37,0.00,1.07,0.00,3.02,0.00,postgres: walwriter
1707240486,1002,7701,0.00,0.00,0.00,0.00,0,0.00,0.00,1285164,1180,0.03,0.00,0.00,0.00,0.15,0.00,postgres: autovacuum launcher
1707240486,1002,12506,0.00,0.00,0.00,0.00,0,0.00,0.00,15420,2500,0.06,-1.00,-1.00,-1.00,0.02,0.00,sshd: markwkm@pts/1
1707240486,1002,12532,0.00,0.00,0.00,0.00,0,0.00,0.00,15420,2496,0.06,-1.00,-1.00,-1.00,0.02,0.00,sshd: markwkm@pts/6
