ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457505.906756,1214,pg_catalog,pg_shdepend,0,0,6,7506,,,,,1214,pg_catalog,pg_shdepend,0,0,3755,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.864603+00,,2024-06-26 23:46:03.001754+00,,1,0,19,0
1719457505.906756,2396,pg_catalog,pg_shdescription,10,35,5,2,0,0,1,0,2396,pg_catalog,pg_shdescription,0,0,3,0,0,0,0,0,3,0,0,0,2024-06-14 00:25:46.828527+00,,2024-06-26 23:46:03.001867+00,,1,0,19,0
1719457505.906756,3602,pg_catalog,pg_ts_config,2,14618,4,21872,,,,,3602,pg_catalog,pg_ts_config,0,0,14584,14584,0,0,0,0,29,0,0,0,,,2024-06-26 23:46:03.002049+00,,0,0,18,0
1719457505.906756,3603,pg_catalog,pg_ts_config_map,7,65,0,0,,,,,3603,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,551,0,0,0,,,2024-06-26 23:46:03.002387+00,,0,0,18,0
1719457505.906756,3600,pg_catalog,pg_ts_dict,3,33,0,0,0,0,0,0,3600,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,29,0,0,0,,,2024-06-26 23:46:03.002577+00,,0,0,18,0
1719457505.906756,3601,pg_catalog,pg_ts_parser,3,33,0,0,,,,,3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,1,0,0,0,,,2024-06-26 23:46:03.002764+00,,0,0,18,0
1719457505.906756,3764,pg_catalog,pg_ts_template,3,33,0,0,,,,,3764,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,5,0,0,0,,,2024-06-26 23:46:03.002927+00,,0,0,18,0
1719457505.906756,3079,pg_catalog,pg_extension,3,33,0,0,0,0,0,0,3079,pg_catalog,pg_extension,0,0,0,0,0,0,0,0,1,0,0,0,,,2024-06-26 23:46:03.003147+00,,0,0,18,0
1719457505.906756,2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,2328,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.003249+00,,0,0,18,0
1719457505.906756,1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.00331+00,,0,0,18,0
1719457505.906756,3256,pg_catalog,pg_policy,0,0,2,158,0,0,0,0,3256,pg_catalog,pg_policy,80,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.003415+00,,0,0,18,0
1719457505.906756,6000,pg_catalog,pg_replication_origin,0,0,2,0,0,0,1,0,6000,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862166+00,,2024-06-26 23:46:03.003478+00,,1,0,19,0
1719457505.906756,826,pg_catalog,pg_default_acl,0,0,1,163,0,0,0,0,826,pg_catalog,pg_default_acl,0,0,82,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.003554+00,,0,0,18,0
1719457505.906756,3394,pg_catalog,pg_init_privs,7,65,2,3763,0,0,0,0,3394,pg_catalog,pg_init_privs,0,0,3745,0,0,0,0,0,213,0,0,0,,,2024-06-26 23:46:03.003787+00,,0,0,18,0
1719457505.906756,3596,pg_catalog,pg_seclabel,0,0,1,7489,0,0,0,0,3596,pg_catalog,pg_seclabel,0,0,3745,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:03.003916+00,,0,0,18,0
1719457505.906756,3592,pg_catalog,pg_shseclabel,0,0,3,4,0,0,1,0,3592,pg_catalog,pg_shseclabel,0,0,3,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863107+00,,2024-06-26 23:46:03.003961+00,,1,0,19,0
1719457505.906756,3456,pg_catalog,pg_collation,32,945,6,3812,0,0,0,0,3456,pg_catalog,pg_collation,0,0,1892,491,0,0,0,0,1459,0,0,0,,,2024-06-26 23:46:03.006197+00,,0,0,18,0
