ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1683036397.593887,2609,2675,pg_catalog,pg_description,pg_description_o_c_o_index,0,0,0,2609,2675,pg_catalog,pg_description,pg_description_o_c_o_index,0,0
1683036397.593887,2605,2660,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,2605,2660,pg_catalog,pg_cast,pg_cast_oid_index,0,0
1683036397.593887,2605,2661,pg_catalog,pg_cast,pg_cast_source_target_index,1760,361,361,2605,2661,pg_catalog,pg_cast,pg_cast_source_target_index,8,1800
1683036397.593887,3501,3502,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,3501,3502,pg_catalog,pg_enum,pg_enum_oid_index,0,0
1683036397.593887,3501,3534,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,3501,3534,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0
1683036397.593887,3501,3503,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,3501,3503,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0
1683036397.593887,2615,2685,pg_catalog,pg_namespace,pg_namespace_oid_index,86,86,38,2615,2685,pg_catalog,pg_namespace,pg_namespace_oid_index,9,97
1683036397.593887,2615,2684,pg_catalog,pg_namespace,pg_namespace_nspname_index,164,93,93,2615,2684,pg_catalog,pg_namespace,pg_namespace_nspname_index,8,227
1683036397.593887,2607,2670,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,2607,2670,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0
1683036397.593887,2607,2669,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,2607,2669,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0
1683036397.593887,2607,2668,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,2607,2668,pg_catalog,pg_conversion,pg_conversion_default_index,0,0
1683036397.593887,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,0,0,0,2608,2674,pg_catalog,pg_depend,pg_depend_reference_index,0,0
1683036397.593887,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,0,0,0,2608,2673,pg_catalog,pg_depend,pg_depend_depender_index,0,0
1683036397.593887,1262,2672,pg_catalog,pg_database,pg_database_oid_index,88,88,88,1262,2672,pg_catalog,pg_database,pg_database_oid_index,8,156
1683036397.593887,1262,2671,pg_catalog,pg_database,pg_database_datname_index,146,146,146,1262,2671,pg_catalog,pg_database,pg_database_datname_index,8,213
